                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86591,                0.56911,                 1.3633,                0.97916,                0.99861,                  0.995,                 0.8204,                0.82515,                  0.389,                 1.5236,              0.0006733,              0.0006733,              0.0006733
                     36,                0.85505,                0.58801,                 1.3465,                0.98993,                0.97844,                  0.995,                0.81354,                0.86035,                0.37408,                 1.5932,              0.0006634,              0.0006634,              0.0006634
                     37,                  0.876,                0.61283,                 1.3621,                0.99235,                0.97356,                  0.995,                0.78811,                0.83697,                0.38587,                 1.5656,              0.0006535,              0.0006535,              0.0006535
                     38,                0.86307,                0.59296,                  1.364,                0.99201,                0.97874,                  0.995,                0.81883,                0.78315,                0.35571,                 1.5103,              0.0006436,              0.0006436,              0.0006436
                     39,                0.83692,                0.58032,                 1.3434,                0.96646,                0.96734,                0.98917,                0.81008,                0.82551,                0.37911,                 1.5267,              0.0006337,              0.0006337,              0.0006337
                     40,                 0.8261,                0.56446,                 1.3378,                0.98636,                0.99797,                  0.995,                0.79904,                0.83427,                0.34409,                 1.5712,              0.0006238,              0.0006238,              0.0006238
                     41,                 0.8348,                0.56006,                 1.3423,                0.99233,                0.97831,                  0.995,                0.78631,                0.86289,                0.36435,                 1.5976,              0.0006139,              0.0006139,              0.0006139
                     42,                 0.8521,                0.58035,                 1.3589,                0.99082,                0.98045,                  0.995,                0.81556,                0.81334,                0.36321,                 1.5507,               0.000604,               0.000604,               0.000604
                     43,                0.80211,                0.55019,                  1.308,                 0.9889,                0.99813,                  0.995,                0.82524,                0.82386,                0.35398,                 1.5928,              0.0005941,              0.0005941,              0.0005941
                     44,                0.81573,                0.54857,                 1.3212,                0.99184,                0.99224,                  0.995,                0.82192,                0.84017,                0.36077,                 1.5769,              0.0005842,              0.0005842,              0.0005842
                     45,                0.80157,                0.53449,                 1.3283,                0.98832,                0.99507,                  0.995,                0.81088,                0.84356,                0.35257,                  1.583,              0.0005743,              0.0005743,              0.0005743
                     46,                0.80342,                0.56575,                 1.3133,                0.99196,                0.99869,                  0.995,                0.80671,                 0.8349,                 0.3522,                  1.569,              0.0005644,              0.0005644,              0.0005644
                     47,                0.77738,                0.51369,                 1.2887,                0.98706,                      1,                  0.995,                0.81211,                0.83238,                0.34368,                 1.5699,              0.0005545,              0.0005545,              0.0005545
                     48,                0.79461,                0.53784,                 1.2903,                  0.981,                0.99529,                  0.995,                0.80443,                0.84228,                0.34881,                 1.5673,              0.0005446,              0.0005446,              0.0005446
                     49,                0.77496,                 0.5199,                 1.2802,                0.98093,                0.99656,                  0.995,                0.80753,                0.88166,                0.34771,                 1.6253,              0.0005347,              0.0005347,              0.0005347
                     50,                0.74716,                0.50024,                 1.2505,                0.98777,                      1,                  0.995,                0.80423,                0.85913,                 0.3669,                 1.6107,              0.0005248,              0.0005248,              0.0005248
                     51,                0.76504,                0.51583,                 1.2755,                 0.9923,                0.99631,                  0.995,                0.81869,                 0.8413,                0.35961,                 1.6302,              0.0005149,              0.0005149,              0.0005149
                     52,                0.73821,                0.48366,                 1.2534,                 0.9801,                      1,                  0.995,                0.81003,                0.84047,                0.33357,                  1.616,               0.000505,               0.000505,               0.000505
                     53,                0.73725,                0.47602,                 1.2586,                0.98952,                 0.9867,                  0.995,                 0.8118,                0.83397,                0.33506,                 1.6034,              0.0004951,              0.0004951,              0.0004951
                     54,                0.77916,                0.51695,                 1.2812,                0.99194,                 0.9975,                  0.995,                0.82291,                0.80939,                0.33145,                  1.613,              0.0004852,              0.0004852,              0.0004852
                     55,                0.74479,                0.49611,                  1.263,                0.98974,                      1,                  0.995,                0.81075,                0.85589,                0.33248,                 1.6813,              0.0004753,              0.0004753,              0.0004753
                     56,                0.74277,                0.49936,                 1.2563,                0.99113,                 0.9919,                  0.995,                0.80668,                0.85659,                0.33345,                 1.6959,              0.0004654,              0.0004654,              0.0004654
                     57,                0.72743,                0.47414,                  1.239,                0.97388,                0.99356,                  0.995,                0.79922,                 0.8941,                0.36032,                  1.706,              0.0004555,              0.0004555,              0.0004555
                     58,                0.71376,                0.46355,                 1.2324,                0.98765,                0.99981,                  0.995,                0.83645,                0.82278,                0.32682,                 1.5968,              0.0004456,              0.0004456,              0.0004456
                     59,                0.71382,                0.46593,                 1.2406,                0.99302,                 0.9964,                  0.995,                0.82471,                0.86582,                0.34345,                 1.6714,              0.0004357,              0.0004357,              0.0004357
                     60,                0.70192,                0.45413,                 1.2305,                0.99285,                0.99984,                  0.995,                0.81085,                0.88881,                0.34548,                 1.6948,              0.0004258,              0.0004258,              0.0004258
                     61,                0.68327,                0.44713,                 1.2118,                0.98898,                0.99962,                  0.995,                0.81206,                0.88809,                0.33821,                 1.7098,              0.0004159,              0.0004159,              0.0004159
                     62,                0.70717,                0.45771,                  1.242,                0.99258,                0.99587,                  0.995,                0.82126,                0.85514,                0.31892,                 1.6345,               0.000406,               0.000406,               0.000406
                     63,                0.68081,                0.44078,                 1.2137,                0.99366,                0.99627,                  0.995,                0.82064,                0.84333,                 0.3218,                 1.6274,              0.0003961,              0.0003961,              0.0003961
                     64,                0.67638,                0.44034,                 1.2036,                0.99346,                0.99414,                  0.995,                0.81339,                 0.8743,                0.33414,                 1.7318,              0.0003862,              0.0003862,              0.0003862
                     65,                0.67914,                0.44077,                 1.2048,                0.99105,                      1,                  0.995,                 0.8105,                0.90786,                 0.3413,                 1.7399,              0.0003763,              0.0003763,              0.0003763
                     66,                0.64721,                0.43919,                 1.1858,                0.99312,                0.99939,                  0.995,                0.81457,                0.88469,                 0.3419,                 1.7452,              0.0003664,              0.0003664,              0.0003664
                     67,                0.66336,                0.43801,                 1.1986,                0.97499,                      1,                  0.995,                0.81712,                0.89669,                 0.3409,                 1.7429,              0.0003565,              0.0003565,              0.0003565
                     68,                0.65165,                0.42664,                 1.2045,                0.99201,                      1,                  0.995,                0.81996,                0.87823,                0.32316,                 1.7437,              0.0003466,              0.0003466,              0.0003466
                     69,                0.64523,                0.44862,                 1.1837,                0.99213,                      1,                  0.995,                0.79665,                0.90882,                0.33785,                 1.8322,              0.0003367,              0.0003367,              0.0003367
                     70,                0.64957,                0.44488,                 1.1771,                 0.9905,                0.99449,                  0.995,                0.81278,                0.87843,                0.32118,                 1.7768,              0.0003268,              0.0003268,              0.0003268
                     71,                0.62439,                0.41128,                 1.1718,                0.98873,                      1,                  0.995,                0.82358,                0.86304,                0.32032,                 1.7239,              0.0003169,              0.0003169,              0.0003169
                     72,                0.63121,                0.42427,                 1.1849,                0.99066,                      1,                  0.995,                0.83004,                 0.8578,                0.31868,                 1.7013,               0.000307,               0.000307,               0.000307
                     73,                0.59091,                0.38327,                 1.1425,                 0.9913,                      1,                  0.995,                0.80798,                0.87693,                0.33313,                 1.7897,              0.0002971,              0.0002971,              0.0002971
                     74,                0.59096,                0.38768,                 1.1398,                0.99346,                      1,                  0.995,                0.81754,                0.87994,                0.32386,                 1.7893,              0.0002872,              0.0002872,              0.0002872
                     75,                0.60599,                0.40969,                 1.1421,                0.99234,                      1,                  0.995,                0.81251,                0.85377,                0.32543,                 1.7422,              0.0002773,              0.0002773,              0.0002773
                     76,                 0.5824,                0.39179,                 1.1364,                0.99451,                      1,                  0.995,                0.82668,                0.88138,                0.32635,                 1.8097,              0.0002674,              0.0002674,              0.0002674
                     77,                0.59922,                0.39202,                 1.1536,                0.99339,                      1,                  0.995,                0.78475,                0.94629,                0.32734,                 1.8751,              0.0002575,              0.0002575,              0.0002575
                     78,                 0.6022,                0.39619,                 1.1564,                0.99184,                      1,                  0.995,                0.80402,                0.89078,                0.31453,                 1.8362,              0.0002476,              0.0002476,              0.0002476
                     79,                0.57405,                0.37242,                 1.1175,                0.99512,                      1,                  0.995,                0.80766,                0.88324,                0.30699,                 1.8164,              0.0002377,              0.0002377,              0.0002377
                     80,                0.58909,                0.37241,                 1.1368,                0.99406,                      1,                  0.995,                0.80502,                0.89367,                0.29905,                 1.8224,              0.0002278,              0.0002278,              0.0002278
                     81,                0.58789,                0.38794,                 1.1344,                0.99467,                      1,                  0.995,                0.82723,                0.87785,                0.30489,                 1.7905,              0.0002179,              0.0002179,              0.0002179
                     82,                0.57792,                0.38335,                 1.1368,                 0.9972,                      1,                  0.995,                0.81889,                  0.853,                0.29584,                  1.792,               0.000208,               0.000208,               0.000208
                     83,                0.56677,                0.38622,                 1.1365,                0.99438,                      1,                  0.995,                0.81846,                0.85831,                0.30128,                 1.7843,              0.0001981,              0.0001981,              0.0001981
                     84,                0.55561,                 0.3756,                 1.1206,                0.99519,                      1,                  0.995,                0.81051,                0.88783,                0.30635,                 1.8359,              0.0001882,              0.0001882,              0.0001882
                     85,                0.56178,                0.36139,                 1.1135,                0.99029,                 0.9964,                  0.995,                0.81467,                0.88062,                0.31816,                 1.8234,              0.0001783,              0.0001783,              0.0001783
                     86,                0.53939,                  0.345,                 1.1071,                0.99372,                      1,                  0.995,                0.80941,                0.87747,                0.31754,                 1.8688,              0.0001684,              0.0001684,              0.0001684
                     87,                0.54006,                0.35379,                 1.0949,                0.99166,                0.99917,                  0.995,                0.82242,                 0.8485,                 0.3087,                 1.8118,              0.0001585,              0.0001585,              0.0001585
                     88,                0.52867,                0.34862,                 1.0869,                0.99195,                      1,                  0.995,                0.82494,                 0.8744,                  0.305,                  1.871,              0.0001486,              0.0001486,              0.0001486
                     89,                0.51959,                0.33958,                 1.0914,                0.99621,                      1,                  0.995,                0.81621,                0.85756,                0.30298,                 1.8688,              0.0001387,              0.0001387,              0.0001387
                     90,                0.51988,                 0.3384,                  1.086,                 0.9942,                      1,                  0.995,                0.82458,                0.85186,                0.29781,                 1.8855,              0.0001288,              0.0001288,              0.0001288
                     91,                0.40923,                 0.2516,                 1.0436,                0.99502,                      1,                  0.995,                0.82881,                0.84081,                0.28948,                 1.9104,              0.0001189,              0.0001189,              0.0001189
                     92,                0.38514,                0.23341,                 1.0129,                0.99623,                      1,                  0.995,                0.81765,                0.85849,                0.30535,                 1.9196,               0.000109,               0.000109,               0.000109
                     93,                0.38125,                0.22701,                 1.0145,                0.99463,                      1,                  0.995,                0.82441,                0.86143,                0.30226,                 1.9355,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.37434,                0.22701,                 1.0009,                0.99876,                      1,                  0.995,                0.81065,                0.86976,                0.31445,                 1.9244,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.36709,                 0.2274,                 1.0025,                0.99634,                      1,                  0.995,                0.81967,                0.88701,                 0.3267,                 1.9838,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.36464,                0.22032,                 1.0006,                0.99032,                0.99843,                  0.995,                0.81361,                0.88264,                0.31165,                 1.9907,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.36372,                0.21845,                0.98199,                0.99314,                      1,                  0.995,                0.81621,                0.88316,                0.30442,                 1.9945,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.34817,                0.21237,                0.97804,                0.99592,                      1,                  0.995,                0.81518,                0.88048,                0.30143,                 2.0162,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.34258,                0.21829,                0.97486,                0.99704,                      1,                  0.995,                0.81856,                0.87742,                0.30113,                 2.0263,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.34177,                0.21292,                0.97667,                0.99532,                      1,                  0.995,                0.81888,                0.87508,                0.30319,                 2.0265,               2.98e-05,               2.98e-05,               2.98e-05
